EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW
220349705,10.6265821,3.692318,17.269, GO8070_LC,82,c8_lcs/220349705.png,24,400,914
220349893,11.1880093,3.6964509,15.481, GO8070_LC|GO8042_LC,82,c8_lcs/220349893.png,24,104,502
220350155,18.6750736,3.7014689,15.729, GO8070_LC,38,c8_lcs/220350155.png,12,210,863
220350211,11.3094435,3.702534,17.791, GO8070_LC,82,c8_lcs/220350211.png,24,44,410
220350240,18.2528534,3.703162,16.378, GO8070_LC|GO8042_LC,38,c8_lcs/220350240.png,12,520,640
220350683,13.2473993,3.7120831,17.359, GO8070_LC,64,c8_lcs/220350683.png,18,614,586
220350691,9.3652611,3.712239,17.899, GO8070_LC,83,c8_lcs/220350691.png,24,1087,335
220350950,17.4992638,3.7176311,15.808, GO8070_LC,38,c8_lcs/220350950.png,12,1066,234
220351262,13.8259726,3.724102,16.153, GO8070_LC,64,c8_lcs/220351262.png,18,912,1016
220351770,10.061224,3.7345719,17.802, GO8070_LC,83,c8_lcs/220351770.png,24,731,854
220352031,15.0665922,3.7396319,17.552, GO8070_LC,62,c8_lcs/220352031.png,18,660,225
220352187,15.2029924,3.7427399,16.467, GO8070_LC,62,c8_lcs/220352187.png,18,590,123
220352628,9.9271183,3.752152,17.955, GO8070_LC,83,c8_lcs/220352628.png,24,817,766
220352674,10.4314108,3.7531099,17.151, GO8070_LC,82,c8_lcs/220352674.png,24,549,1023
220352921,14.0252428,3.758137,15.67, GO8070_LC,61,c8_lcs/220352921.png,18,991,977
220353028,12.5937891,3.760345,17.835, GO8070_LC,64,c8_lcs/220353028.png,18,234,133
220353051,9.5023203,3.760751,15.835, GO8070_LC,83,c8_lcs/220353051.png,24,1049,461
220353161,18.5876522,3.7631969,17.965, GO8070_LC,38,c8_lcs/220353161.png,12,243,772
220353364,12.7105169,3.7670331,13.672, GO8070_LC|GO8077_LC,64,c8_lcs/220353364.png,18,290,221
220353865,17.6302853,3.777339,17.881, GO8070_LC,38,c8_lcs/220353865.png,12,940,259
220354078,13.7870111,3.781755,15.641, GO8070_LC,64,c8_lcs/220354078.png,18,849,1018
220354166,18.7049408,3.783592,17.365, GO8070_LC,38,c8_lcs/220354166.png,12,145,818
220354467,18.5801945,3.7896421,17.476, GO8070_LC,38,c8_lcs/220354467.png,12,234,748
220354525,17.5386162,3.7908559,17.387, GO8070_LC,38,c8_lcs/220354525.png,12,1000,201
220354699,13.3177681,3.7949951,16.201, GO8070_LC,64,c8_lcs/220354699.png,18,591,681
220354888,18.5372314,3.7986729,16.251, GO8070_LC,38,c8_lcs/220354888.png,12,261,719
220355047,16.1215801,3.8020689,17.544, GO8070_LC,44,c8_lcs/220355047.png,13,179,120
220355417,12.6648388,3.8097069,17.935, GO8070_LC,64,c8_lcs/220355417.png,18,234,211
220355450,9.0286741,3.8102939,16.173, GO8070_LC,84,c8_lcs/220355450.png,24,878,142
220355456,11.0164194,3.810339,17.633, GO8070_LC,82,c8_lcs/220355456.png,24,278,566
220355608,18.7725983,3.8132651,17.287, GO8070_LC,38,c8_lcs/220355608.png,12,81,832
220355646,13.9433956,3.813951,17.621, GO8070_LC,61,c8_lcs/220355646.png,18,908,1008
220355694,12.7472267,3.814836,17.254, GO8070_LC,64,c8_lcs/220355694.png,18,274,274
220356190,16.3139668,3.825407,16.479, GO8070_LC,44,c8_lcs/220356190.png,13,333,36
220356205,18.7406845,3.8257909,15.758, GO8070_LC,38,c8_lcs/220356205.png,12,97,805
220356507,17.9363384,3.832128,15.785, GO8070_LC,38,c8_lcs/220356507.png,12,685,379
220356549,17.9471874,3.8330181,17.3, GO8070_LC,38,c8_lcs/220356549.png,12,676,384
220357109,9.7689028,3.844799,16.766, GO8070_LC,83,c8_lcs/220357109.png,24,969,700
220357727,10.557457,3.856529,17.453, GO8070_LC,82,c8_lcs/220357727.png,24,556,876
220358381,11.1235666,3.8691571,17.145, GO8070_LC,82,c8_lcs/220358381.png,24,265,457
220358766,9.634078,3.875921,16.99, GO8070_LC,83,c8_lcs/220358766.png,24,1062,618
220359538,16.1366653,3.891387,17.696, GO8070_LC,44,c8_lcs/220359538.png,13,238,178
220359687,12.5240011,3.8946381,17.812, GO8070_LC,64,c8_lcs/220359687.png,18,97,153
220359749,13.2619171,3.895977,16.243, GO8070_LC,64,c8_lcs/220359749.png,18,487,694
