EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW,ZSPEC
220293277,22.2057705,2.4922299,18.43,GO8052_LC,14.0,c8_lcs/220293277.png,6.0,819.0,1018.0,0.806
220289827,12.0021181,2.4208119,18.771,GO8052_LC,77.0,c8_lcs/220289827.png,23.0,902.0,582.0,2.173
220460915,12.6664734,5.8999681,18.614,GO8052_LC,66.0,c8_lcs/220460915.png,19.0,927.0,835.0,1.283
220337983,19.0199661,3.4416101,19.454,GO8052_LC,39.0,c8_lcs/220337983.png,12.0,95.0,921.0,1.674
220661373,13.4612484,10.4623384,19.227,GO8052_LC,52.0,c8_lcs/220661373.png,15.0,444.0,926.0,3.226
220477648,22.5854568,6.2596989,18.65,GO8052_LC,2.0,c8_lcs/220477648.png,2.0,1042.0,1023.0,0.705
220397312,14.4001341,4.6627941,19.12,GO8052_LC,61.0,c8_lcs/220397312.png,18.0,527.0,224.0,2.811
220347451,10.8234262,3.6441619,19.216,GO8052_LC,82.0,c8_lcs/220347451.png,24.0,259.0,796.0,2.931
220452918,16.0302849,5.740077,19.044,GO8052_LC,42.0,c8_lcs/220452918.png,13.0,1080.0,564.0,0.755
220595551,14.5284262,8.9266558,18.784,GO8052_LC,48.0,c8_lcs/220595551.png,14.0,487.0,22.0,0.601
220310160,11.9138021,2.8554399,18.886,GO8052_LC,77.0,c8_lcs/220310160.png,23.0,536.0,415.0,2.525
220471300,14.3409748,6.115521,19.075,GO8052_LC,46.0,c8_lcs/220471300.png,14.0,102.0,171.0,1.357
220504394,14.2884779,6.8700728,19.244,GO8052_LC,46.0,c8_lcs/220504394.png,14.0,464.0,753.0,2.187
220370688,9.3713636,4.1199031,19.143,GO8052_LC,84.0,c8_lcs/220370688.png,24.0,834.0,557.0,2.052
220572518,11.0274172,8.4269238,19.165,GO8052_LC,69.0,c8_lcs/220572518.png,20.0,709.0,1028.0,0.615
220301007,21.675108,2.651612,18.967,GO8052_LC,13.0,c8_lcs/220301007.png,6.0,1087.0,624.0,0.527
220406456,9.8979788,4.843502,18.806,GO8052_LC,81.0,c8_lcs/220406456.png,24.0,586.0,830.0,2.25
220521254,13.9438524,7.2478929,18.333,GO8052_LC,47.0,c8_lcs/220521254.png,14.0,413.0,948.0,1.442
220162066,13.8671093,-1.475579,19.205,GO8052_LC,75.0,c8_lcs/220162066.png,22.0,42.0,875.0,2.33
220480134,12.9463491,6.3176489,19.097,GO8052_LC,66.0,c8_lcs/220480134.png,19.0,1086.0,410.0,0.633
220441559,10.4105711,5.5189052,19.152,GO8052_LC,81.0,c8_lcs/220441559.png,24.0,365.0,96.0,2.443
220443016,15.7058849,5.5453529,18.425,GO8052_LC,41.0,c8_lcs/220443016.png,13.0,797.0,536.0,2.984
220687021,18.8160324,11.1141949,18.689,GO8052_LC,10.0,c8_lcs/220687021.png,4.0,659.0,792.0,2.28
220406301,12.4853287,4.8406439,18.685,GO8052_LC,67.0,c8_lcs/220406301.png,19.0,247.0,628.0,0.845
220616002,16.9968147,9.3824177,18.759,GO8052_LC,28.0,c8_lcs/220616002.png,9.0,1039.0,974.0,1.577
220405171,17.1514015,4.8186369,18.029,GO8052_LC,43.0,c8_lcs/220405171.png,13.0,745.0,327.0,0.634
220398710,16.5502625,4.6903319,19.01,GO8052_LC,44.0,c8_lcs/220398710.png,13.0,963.0,549.0,3.062
220256301,14.8232956,1.701444,18.518,GO8052_LC,57.0,c8_lcs/220256301.png,17.0,704.0,310.0,3.176
220563660,13.5824137,8.2121773,18.802,GO8052_LC,47.0,c8_lcs/220563660.png,14.0,662.0,50.0,3.37
220314080,22.3938503,2.934051,19.166,GO8052_LC,14.0,c8_lcs/220314080.png,6.0,449.0,790.0,0.441
220353115,9.4468164,3.7622931,19.024,GO8052_LC,83.0,c8_lcs/220353115.png,24.0,1079.0,421.0,1.353
220692561,16.3972015,11.2671976,19.301,GO8052_LC,29.0,c8_lcs/220692561.png,10.0,475.0,298.0,3.325
220353948,14.4074354,3.779175,18.141,GO8052_LC,62.0,c8_lcs/220353948.png,18.0,1038.0,688.0,2.445
220444932,13.0953407,5.5816789,18.96,GO8052_LC,66.0,c8_lcs/220444932.png,19.0,468.0,693.0,0.627
220582765,11.6412287,8.6538296,19.448,GO8052_LC,69.0,c8_lcs/220582765.png,20.0,144.0,869.0,2.824
220249191,12.2459469,1.5560499,18.269,GO8052_LC,78.0,c8_lcs/220249191.png,23.0,549.0,862.0,0.681
220621101,13.1949291,9.5016432,18.781,GO8052_LC,50.0,c8_lcs/220621101.png,15.0,1067.0,668.0,2.244
